Id,SMILES,Protein,Ligand,type,Heavy Atoms,Mol. weight [g/mol],Exp. Affinity,Binder prob mean,Binder prob std,dG [kcal/mol] mean,dG [kcal/mol] std,Lig. Efficiency [kcal/mol] mean,Lig. Efficiency [kcal/mol] std,Pic50 mean,Pic50 std,Pkd mean,Pkd std
test0,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1A28.pdb,1A28_0_processed.sdf,actives,23,314.469,0,1,0,-11.21983916,-0.327004242,-0.487819094,-0.014217576,8.181544713,0.343588007,8.310991968,0.242225364
test1,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],1CVU.pdb,1CVU_0_processed.sdf,actives,22,303.466,0,1,0,-8.626215291,-0.898100077,-0.392100695,-0.040822731,6.181485585,0.64054022,6.389789104,0.665259316
test2,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1,1CX2.pdb,1CX2_0_processed.sdf,actives,26,446.248,0,0.599977154,0.489864563,-10.7993617,-0.543919073,-0.415360065,-0.020919964,7.779667786,0.475446953,7.999527182,0.402903017
test3,CC(O)(CC(=O)[O-])CC(=O)[O-],1DQ8.pdb,1DQ8_0_processed.sdf,actives,11,160.125,0,0.005583597,0.011158475,-4.524746306,-0.799702863,-0.411340573,-0.07270026,3.450225524,0.520087877,3.35166393,0.592372491
test4,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,1E3K.pdb,1E3K_0_processed.sdf,actives,21,284.399,0,0.999984837,2.99E-05,-11.04599357,-0.361188864,-0.525999694,-0.01719947,8.005273615,0.546913406,8.182217462,0.267547307
test5,CC[C@@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,1HW8.pdb,1HW8_0_processed.sdf,actives,29,407.527,0,0.351343598,0.432229638,-5.931363753,-0.714252957,-0.204529785,-0.024629412,4.628533023,0.643623673,4.39360278,0.529076265
test6,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,1HW9.pdb,1HW9_0_processed.sdf,actives,31,435.581,0,0.527241449,0.363264642,-7.474568878,-0.859183274,-0.241115125,-0.027715589,5.522301878,0.64911572,5.536717687,0.636432055
test7,CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,1HWI.pdb,1HWI_0_processed.sdf,actives,30,410.465,0,0.404117267,0.478010847,-6.655112519,-0.825605701,-0.221837084,-0.02752019,5.001748017,0.73456844,4.929712977,0.611559779
test8,COCc1c(C(C)C)nc(C(C)C)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1,1HWJ.pdb,1HWJ_0_processed.sdf,actives,33,460.566,0,0.273934126,0.390162608,-7.102409342,-0.527421974,-0.215224526,-0.015982484,5.153219155,0.437821004,5.261043957,0.390682944
test9,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-],1HWK.pdb,1HWK_0_processed.sdf,actives,41,557.642,0,0.197603972,0.395166531,-8.309680479,-0.695392389,-0.202675134,-0.01696079,6.323374816,0.597478039,6.155318873,0.515105473
